Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Using Eye Tracking Technology to Analyze the Impact of Stylistic Inconsistency on Code Readability,Q. Mi; J. Keung; J. Huang; Y. Xiao,NA; NA; NA; NA,"2017 IEEE International Conference on Software Quality, Reliability and Security Companion (QRS-C)",,2017,,,579,580,"A number of research efforts have focused in the area of programming style. However, to the best of our knowledge, there is little sound and solid evidence of how and to what extent can stylistic inconsistency impact the readability and maintainability of the source code. To bridge the research gap, we design an empirical experiment in which eye tracking technology is introduced to quantitatively reflect developers' cog.nitive efforts and mental processes when encountering the inconsistency issue.",,978-1-5386-2072-4978-1-5386-2073,10.1109/QRS-C.2017.102,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8004381,programming style;stylistic inconsistency;eye tracking technology;code readability;program comprehension,Gaze tracking;Visualization;Bridges;Software engineering;Indexes;Programming profession,software maintenance;source code (software),eye tracking technology;stylistic inconsistency;code readability;programming style;source code;research gap;cognitive efforts;mental processes;inconsistency issue;maintainability,,,3,,,,,IEEE,IEEE Conferences
"Linking Code Readability, Structure, and Comprehension Among Novices: It's Complicated",E. Wiese; A. Rafferty; A. Fox,"University of Utah; Carleton College; University of California, Berkeley",2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET),,2019,,,84,94,"Novices' functionally-correct code is often redundant, verbose, or un-idiomatic. Such code could indicate shallow understanding of the programming language, or unfamiliarity with experts' preferences for code structure. Understanding why novices write poorly is important for designing instruction and tools to help novices write elegantly. 231 novices judged style and readability for sets of code snippets targeting seven topics. Within each set, functionality was the same, but the writing followed either common novice patterns or a more elegant, ""expert"" pattern. Overall, 76% of novices thought the ""expert"" snippets had the best style, but only 64% said those snippets were most readable. However, comprehension was similar for both ""expert"" and novice patterns, regardless of readability preferences. This suggests that students who prefer novice patterns do not necessarily have deep misunderstandings about the programming language. One topic included a code-writing task, and students' readability preferences were predictive of their code-writing patterns, suggesting that readability preferences reflect writing choices rather than comprehension. Thus, novices may benefit from lightweight tools that identify common patterns and suggest an ""expert"" solution, while helping them see that the ""expert"" solution is more readable than they think.",,978-1-7281-1000-4978-1-7281-1001,10.1109/ICSE-SEET.2019.00017,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802116,computer science education;code readability;novice code comprehension,,,,,,28,,,,,IEEE,IEEE Conferences
Influence of Synchronized Domain Visualizations on Program Comprehension,N. Oliveira; M. J. V. Pereira; D. da Cruz; M. Berón,NA; NA; NA; NA,2010 IEEE 18th International Conference on Program Comprehension,,2010,,,192,195,"An effective program comprehension is reached when it is possible to view and relate what happens when the program is executed, synchronized with its effects in the real world concepts. This enables the interconnection of program's meaning at both problem and program domains. To sustain this statement we need (i) to develop a tool which provides and synchronizes views at both domains, and (ii) to perform an experiment to measure the actual impact of this approach. So, in this working session we aim at discussing the benefits of providing synchronized domain visualizations. We also envisage to discuss the preparation and conduction of appropriate experiments that will test that benefits. A case study will be used and the discussion will be supported by experimental material specially prepared for the occasion, but adapted from material already used in previous experiments.",1092-8138;1092-8138,978-1-4244-7603-9978-1-4244-7604-6978-0-7695-4113,10.1109/ICPC.2010.21,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5521744,DSL comprehension;Program comprehension experiments;Program comprehension tools;Synchronized program visualizations,Visualization;Testing;DSL;Conducting materials;Animation;Performance evaluation;Cause effect analysis;Data mining;Humans;Graphics,data visualisation;synchronisation,synchronized domain visualizations;effective program comprehension,,,11,,,,,IEEE,IEEE Conferences
Towards an e-assessment approach of algorithmic problem-solving skills using plan-based program understanding approach,A. Bey; T. Bensebaa,"Laboratoire de Recherche en Informatique -LRI-Department of Computer Science Badji Mokhtar-Annaba University P.O. Box 12, 23000 Annaba, Algeria; Laboratoire de Recherche en Informatique -LRI-Department of Computer Science Badji Mokhtar-Annaba University P.O. Box 12, 23000 Annaba, Algeria",International Conference on Education and e-Learning Innovations,,2012,,,1,4,"The majority of the students of Computer Science often start directly writing a program code when they have been asked to resolve a problem in algorithms. Although, what is way more important is the algorithm the code has to represent. Learning how to design an algorithm which resolves a given problem it is not easy. In this paper, we propose a formative-diagnostic assessment approach which helps students on acquiring problem-solving skills that enable them to cope with problems and to design more efficient and elegant solutions. Aside from the fact that this approach brings a solution for delicate problem of e-assessment of algorithmic skills, in addition it is formative aiming at strengthening algorithmic competencies. Drawing inspiration from the basic principles of the algorithms field itself, it is based on using known components called: Basic Operations which are organized in a library. For modeling, solutions of each problem are regrouped in a bunch and each solution is represented by a plan which is the canonical representation of a program in an approach of program understanding. The purpose of this approach is to provide a formative and diagnostic assessment in order to empower the learner to acquire algorithmic problem-solving skills. Even if it has been conceived for algorithmic competencies assessment, this approach can easily be adapted to any field to assess its know-how.",,978-1-4673-2225-6978-1-4673-2226-3978-1-4673-2224,10.1109/ICEELI.2012.6360666,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6360666,Learning Environment;Diagnostic assessment;formative assessment;program understanding approach;algorithmic problem-solving skills,Educational institutions;Abstracts;Algorithm design and analysis;Problem-solving;Libraries;Programming,computer aided instruction;computer science education;problem solving,e-assessment approach;algorithmic problem solving skills;plan-based program understanding;computer science;program code;learning;formative-diagnostic assessment,,2,13,,,,,IEEE,IEEE Conferences
Trend analysis on the metadata of program comprehension papers,M. Sulír; J. Porubän,"Department of Computers and Informatics, Faculty of Electrical Engineering and Informatics, Technical University of Košice, Slovakia; Department of Computers and Informatics, Faculty of Electrical Engineering and Informatics, Technical University of Košice, Slovakia",2015 13th International Conference on Engineering of Modern Electric Systems (EMES),,2015,,,1,4,"As program comprehension is a vast research area, it is necessary to get an overview of its rising and falling trends. We performed an n-gram frequency analysis on titles, abstracts and keywords of 1885 articles about program comprehension from the years 2000-2014. According to this analysis, the most rising trends are feature location and open source systems, the most falling ones are program slicing and legacy systems.",,978-1-4799-7650-8978-1-4799-7649-2978-1-4799-7648,10.1109/EMES.2015.7158425,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7158425,Program comprehension;bibliography;trends;n-grams,Market research;Software;IEEE Xplore;Bibliographies;Software engineering;Visualization,meta data;program slicing;software maintenance,trend analysis;meta data;program comprehension;n-gram frequency analysis;program slicing;legacy systems,,,12,,,,,IEEE,IEEE Conferences
Industrial Realities of Program Comprehension (IRPC 2008),T. Dean; J. Visser,NA; NA,2008 16th IEEE International Conference on Program Comprehension,,2008,,,283,284,"In the working session on Industrial Realities of Program Comprehension (IRPC 2008), experience and ideas are shared regarding the challenges and opportunities of industrial application of program comprehension techniques. Participants work together to formulate a set of useful guidelines for introducing new program comprehension techniques into industrial practice as well as consolidating and increasing their use.",1092-8138,978-0-7695-3176,10.1109/ICPC.2008.43,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556145,Program comprehension;working session,Computer industry;Guidelines;Packaging;Business;Application software;Environmental economics;Testing;Quality assessment;Companies;Licenses,business data processing;software engineering,industrial realities;program comprehension techniques;industrial practice,,,2,,,,,IEEE,IEEE Conferences
CodersMUSE: Multi-Modal Data Exploration of Program-Comprehension Experiments,N. Peitek; S. Apel; A. Brechmann; C. Parnin; J. Siegmund,"Leibniz Institute for Neurobiology Magdeburg, Germany; University of Passau, Germany; Leibniz Institute for Neurobiology Magdeburg, Germany; NC State University, USA; University of Passau, Germany",2019 IEEE/ACM 27th International Conference on Program Comprehension (ICPC),,2019,,,126,129,"Program comprehension is a central cognitive process in programming. It has been in the focus of researchers for decades, but is still not thoroughly unraveled. Multi-modal psycho-physiological and neurobiological measurement methods have proved successful to gain a more holistic understanding of program comprehension. However, there is no proper tool support that lets researchers explore synchronized, conjoint multi-modal data, specifically designed for the needs in program-comprehension research. In this paper, we present CodersMUSE, a prototype implementation that aims to satisfy this crucial need.",2643-7171;2643-7147,978-1-7281-1519-1978-1-7281-1520,10.1109/ICPC.2019.00027,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8813268,"program comprehension, data exploration, functional magnetic resonance imaging",,,,,,16,,,,,IEEE,IEEE Conferences
Program comprehension: A method of generating visualized UML class diagram,GuHui; WangHui,"College of Computer Science and Technology, Zhejiang University of Technology, ZJUT, Hangzhou, China; College of Computer Science and Technology, Zhejiang University of Technology, ZJUT, Hangzhou, China",The 2nd International Conference on Information Science and Engineering,,2010,,,6775,6776,"Program comprehension is an important research content of software engineering. This paper presents a Program comprehension visualization method of using UML class diagram. This method has two parts, first, The program source code is abstracted into database table, the form used to summarize and express program structure and key information, Then, the table was transformed into UML class diagrams, The class diagram can be effective to help understanding program structure and other key information.",2160-1283;2160-1291,978-1-4244-7618-3978-1-4244-7616-9978-1-4244-7617,10.1109/ICISE.2010.5690312,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5690312,program comprehension;table abstract;UML class diagram;visualization,Unified modeling language;Visualization;Software engineering;Educational institutions;Software maintenance,,,,,,,,,,IEEE,IEEE Conferences
Structural Knowledge and Language Notational Properties in Program Comprehension,P. Romero; B. du Boulay,"University of Sussex, UK; NA",2004 IEEE Symposium on Visual Languages - Human Centric Computing,,2004,,,223,225,"Several accounts of program comprehension have taken the theory of text comprehension by Kinstch as a starting point to model the mental representations built when programmers understand a computer program. A crucial point that these accounts try to explain is how these mental representations are organised. According to Kintsch's theory, the mental representations built as a product of the text comprehension process are interrelated propositional networks whose organisation is determined by the main idea of the text. In program comprehension, this main idea has been understood in terms of functionality. This paper contends this notion, proposing that in program understanding programmer's mental representations are multifaceted and organised through several criteria. Which of these is the most important one depends on the programming language employed among other factors. The fact that functional information appeared as crucial might have been because most of the empirical research that has been undertaken has employed procedural languages. This claim is tested empirically by analysing the mental representations of programmers in Prolog, a declarative programming language. The results support our claim by showing that in this case data structure information is more important than function",,0-7803-8696,10.1109/VLHCC.2004.50,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372324,knowledge representation;program debugging;program comprehension,Programming profession;Computer languages;Humans;Data structures;Testing;Knowledge representation;Debugging,data structures;PROLOG;reverse engineering,structural knowledge;language notational property;program comprehension;text comprehension;mental representations;programmers;computer program;Kintsch theory;propositional networks;programming language;procedural languages;Prolog;data structure information,,,17,,,,,IEEE,IEEE Conferences
Supporting program comprehension with source code summarization,S. Haiduc; J. Aponte; A. Marcus,"Wayne State University, Detroit, MI; Universidad Nacional de Colombia, Bogot&#x0E1;, Colombia; Wayne State University, Detroit, MI",2010 ACM/IEEE 32nd International Conference on Software Engineering,,2010,2,,223,226,"One of the main challenges faced by today's developers is keeping up with the staggering amount of source code that needs to be read and understood. In order to help developers with this problem and reduce the costs associated with it, one solution is to use simple textual descriptions of source code entities that developers can grasp easily, while capturing the code semantics precisely. We propose an approach to automatically determine such descriptions, based on automated text summarization technology.",1558-1225;0270-5257,978-1-60558-719,10.1145/1810295.1810335,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062165,program comprehension;summary;text summarization,Semantics;Natural languages;Large scale integration;Software engineering;Tagging;Software systems,reverse engineering;software cost estimation;software maintenance,program comprehension;source code summarization;cost reduction;textual description;code semantics;automated text summarization;software maintenance,,37,12,,,,,IEEE,IEEE Conferences
