type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
article	Program structure definition using binary relations	program structure definition using binary relations	10.1145/987352.987356	https://dl.acm.org/doi/10.1145/987352.987356	Lars Kahn	ACM SIGPLAN Notices (SIGPLAN)	01 December 1976
Article	On a measure of program structure	on a measure of program structure	10.5555/647323.721517	https://dl.acm.org/doi/10.5555/647323.721517	R. N. Chanon	Programming Symposium, Proceedings Colloque sur la Programmation	09 April 1974
research-article	Comparing trace visualizations for program comprehension through controlled experiments	comparing trace visualizations for program comprehension through controlled experiments	10.5555/2820282.2820321	https://dl.acm.org/doi/10.5555/2820282.2820321	Florian Fittkau, Santje Finke, Wilhelm Hasselbring, Jan Waller	ICPC '15: Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension	16 May 2015
proceeding	ICPC 2014: Proceedings of the 22nd International Conference on Program Comprehension	icpc 2014 proceedings of the 22nd international conference on program comprehension	10.1145/2597008	https://dl.acm.org/doi/proceedings/10.1145/2597008	Chanchal K. Roy, Andrew Begel, Leon Moonen		02 June 2014
Article	How Webmining and Coupling Metrics Improve Early Program Comprehension	how webmining and coupling metrics improve early program comprehension	10.1109/ICPC.2006.26	https://dl.acm.org/doi/10.1109/ICPC.2006.26	Andy Zaidman, Bart Du Bois, Serge Demeyer	ICPC '06: Proceedings of the 14th IEEE International Conference on Program Comprehension	14 June 2006
Article	Inference-Based and Expectation-Based Processing in Program Comprehension	inferencebased and expectationbased processing in program comprehension	10.5555/876902.881291	https://dl.acm.org/doi/10.5555/876902.881291		IWPC '01: Proceedings of the 9th International Workshop on Program Comprehension	12 May 2001
book	A connotational theory of program structure	a connotational theory of program structure	10.5555/31024	https://dl.acm.org/doi/book/10.5555/31024	James S. Royer		01 October 1987
Article	Do Dynamic Object Process Graphs Support Program Understanding? - A Controlled Experiment.	do dynamic object process graphs support program understanding a controlled experiment.	10.1109/ICPC.2008.15	https://dl.acm.org/doi/10.1109/ICPC.2008.15	Jochen Quante	ICPC '08: Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension	10 June 2008
Article	Aiding Program Comprehension by Static and Dynamic Feature Analysis	aiding program comprehension by static and dynamic feature analysis	10.1109/ICSM.2001.972777	https://dl.acm.org/doi/10.1109/ICSM.2001.972777	Thomas Eisenbarth, Rainer Koschke, Daniel Simon	ICSM '01: Proceedings of the IEEE International Conference on Software Maintenance (ICSM'01)	07 November 2001
Article	The effect of modularization and comments on program comprehension	the effect of modularization and comments on program comprehension	10.5555/800078.802534	https://dl.acm.org/doi/10.5555/800078.802534	S. N. Woodfield, H. E. Dunsmore, V. Y. Shen	ICSE '81: Proceedings of the 5th international conference on Software engineering	09 March 1981
