Document Title	Document Title - ajusted	DOI	PDF Link	Authors	Author Affiliations	Publication Title	Date Added To Xplore	Publication Year	Volume	Issue	Start Page	End Page	Abstract	ISSN	ISBNs	Funding Information	Author Keywords	IEEE Terms	INSPEC Controlled Terms	INSPEC Non-Controlled Terms	Mesh_Terms	Article Citation Count	Patent Citation Count	Reference Count	License	Online Date	Issue Date	Meeting Date	Publisher	Document Identifier
Recommending Code Understandability Improvements Based on Code Reviews	recommending code understandability improvements based on code reviews	10.1109/ASEW52652.2021.00035	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680313	D. Oliveira	Federal University of Pernambuco, Recife, Brazil	2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW)	24 jan. 2022	2021			131	132	Developers spend 70% of their time understanding code. Code that is easy to read can save time, while hard-to-read code can lead to the introduction of bugs. However, it is difficult to establish what makes code more understandable. Although there are guides and directives on improving code understandability, in some contexts, these practices can have a detrimental effect. Practical software development projects often employ code review to improve code quality, including understandability. Reviewers are often senior developers who have contributed extensively to projects and have an in-depth understanding of the impacts of different solutions on code understandability. This paper is an early research proposal to recommend code understandability improvements based on code reviewer knowledge. The core of the proposal comprises a dataset of code understandability improvements extracted from code reviews. This dataset will serve as a basis to train machine learning systems to recommend understandability improvements.	2151-0830	978-1-6654-3583-3	CAPES/Brazil(grant numbers:88887.582851/2020-0); 	code understandability;code readability;code review;mining repositories	Codes;Conferences;Computer bugs;Machine learning;Software;Proposals;Software engineering	learning (artificial intelligence);program testing;project management;software development management;software engineering;software maintenance;software quality	code understandability improvements;code review;practical software development projects;code quality;code reviewer knowledge				15	IEEE	24 jan. 2022			IEEE	IEEE Conferences
Evaluating Code Readability and Legibility: An Examination of Human-centric Studies	evaluating code readability and legibility an examination of humancentric studies	10.1109/ICSME46990.2020.00041	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240710	D. Oliveira; R. Bruno; F. Madeiral; F. Castor	Federal University of Pernambuco, Recife, Brazil; Federal University of Pernambuco, Recife, Brazil; KTH Royal Institute of Technology, Stockholm, Sweden; Federal University of Pernambuco, Recife, Brazil	2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)	2 nov. 2020	2020			348	359	Reading code is an essential activity in software maintenance and evolution. Several studies with human subjects have investigated how different factors, such as the employed programming constructs and naming conventions, can impact code readability, i.e., what makes a program easier or harder to read and apprehend by developers, and code legibility, i.e., what influences the ease of identifying elements of a program. These studies evaluate readability and legibility by means of different comprehension tasks and response variables. In this paper, we examine these tasks and variables in studies that compare programming constructs, coding idioms, naming conventions, and formatting guidelines, e.g., recursive vs. iterative code. To that end, we have conducted a systematic literature review where we found 54 relevant papers. Most of these studies evaluate code readability and legibility by measuring the correctness of the subjects' results (83.3%) or simply asking their opinions (55.6%). Some studies (16.7%) rely exclusively on the latter variable. There are still few studies that monitor subjects' physical signs, such as brain activation regions (5%). Moreover, our study shows that some variables are multi-faceted. For instance, correctness can be measured as the ability to predict the output of a program, answer questions about its behavior, or recall parts of it. These results make it clear that different evaluation approaches require different competencies from subjects, e.g., tracing the program vs. summarizing its goal vs. memorizing its text. To assist researchers in the design of new studies and improve our comprehension of existing ones, we model program comprehension as a learning activity by adapting a preexisting learning taxonomy. This adaptation indicates that some competencies, e.g., tracing, are often exercised in these evaluations whereas others, e.g., relating similar code snippets, are rarely targeted.	2576-3148	978-1-7281-5619-4		Code readability;code legibility;code understandability;code understanding;program comprehension	Software maintenance;Systematics;Bibliographies;Taxonomy;Programming;Task analysis;Software engineering	brain;computer aided instruction;computer science education;software maintenance	similar code snippets;code readability;human-centric studies;reading code;software maintenance;human subjects;programming constructs;naming conventions;code legibility;response variables;iterative code;brain activation regions;model program comprehension		6		80		2 nov. 2020			IEEE	IEEE Conferences
An Eye Tracking Perspective on How Developers Rate Source Code Readability Rules	an eye tracking perspective on how developers rate source code readability rules	10.1109/ASEW52652.2021.00037	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680280	C. S. Peterson; K. -i. Park; I. Baysinger; B. Sharif	University of Nebraska - Lincoln, Lincoln, Nebraska, USA; University of Nebraska - Lincoln, Lincoln, Nebraska, USA; University of Nebraska - Lincoln, Lincoln, Nebraska, USA; University of Nebraska - Lincoln, Lincoln, Nebraska, USA	2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW)	24 jan. 2022	2021			138	139	Writing readable source code is generally considered good practice because it reduces comprehension time for both the original developer and others that have to read and maintain it. We conducted a code readability rating study using eye tracking equipment as part of a larger project where we compared pairs of Java methods side by side. The methods were written such that one followed a readability rule and the other did not. The participants were tasked with rating which method they considered to be more readable. An explanation of the rating was also optionally provided. Eye tracking data was collected and analyzed during the rating process. We found that developers rated the snippet in the pair of methods that avoided nested if statements as more readable on average. There was no clear preference in the use of do-while statements. In addition, more developer fixation attention was on the snippet that avoided do while loops and the snippet pairs relating to nested if statements had more equal fixation attention across the snippets.	2151-0830	978-1-6654-3583-3		source code readability;program comprehension;eye tracking	Java;Codes;Conferences;Gaze tracking;Writing;Task analysis;Software engineering	gaze tracking;Java;software maintenance;source code (software);statistical analysis	readability rule;Java methods side;eye tracking equipment;code readability rating study;comprehension time;readable source code;source code readability rules;eye tracking perspective;snippet pairs;developer fixation attention;statements;rating process;eye tracking data				6	IEEE	24 jan. 2022			IEEE	IEEE Conferences
Using Eye Tracking Technology to Analyze the Impact of Stylistic Inconsistency on Code Readability	using eye tracking technology to analyze the impact of stylistic inconsistency on code readability	10.1109/QRS-C.2017.102	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8004381	Q. Mi; J. Keung; J. Huang; Y. Xiao	Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong; Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong; Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong; Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong	2017 IEEE International Conference on Software Quality, Reliability and Security Companion (QRS-C)	10 Aug 2017	2017			579	580	A number of research efforts have focused in the area of programming style. However, to the best of our knowledge, there is little sound and solid evidence of how and to what extent can stylistic inconsistency impact the readability and maintainability of the source code. To bridge the research gap, we design an empirical experiment in which eye tracking technology is introduced to quantitatively reflect developers' cog.nitive efforts and mental processes when encountering the inconsistency issue.		978-1-5386-2072-4		programming style;stylistic inconsistency;eye tracking technology;code readability;program comprehension	Gaze tracking;Visualization;Bridges;Software engineering;Indexes;Programming profession	software maintenance;source code (software)	eye tracking technology;stylistic inconsistency;code readability;programming style;source code;research gap;cognitive efforts;mental processes;inconsistency issue;maintainability				3		10 Aug 2017			IEEE	IEEE Conferences
A Method of Program Structure Division Based on Program Understanding	a method of program structure division based on program understanding	10.1109/ICCTD.2009.159	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5359691	Z. Youwei; W. Yonghong; L. Xiaochun	Institute of Surveying and Mapping, Information and Engineering University, Zhengzhou, China; Institute of Surveying and Mapping, Information and Engineering University, Zhengzhou, China; Institute of Surveying and Mapping, Information and Engineering University, Zhengzhou, China	2009 International Conference on Computer Technology and Development	28 Dec 2009	2009	1		363	366	A method of program structure division is introduced in the paper, which is on the basis of program dependence graph. It can divide complex assemble source program into a certain number of program blocks by analyzing the structure of source program, extract the relation of these blocks and show them in a graphic structure called program dependence graph. The result of the test shows that this method has a better commonality and efficiency while being applied to program static understanding analysis.		978-0-7695-3892-1		program block;program dependence graph;calling relation;multi-entry	Data structures;Algorithm design and analysis;Paper technology;Assembly;Data mining;Graphics;Testing;Hardware;Software systems;Costs	data structures;feature extraction;graph theory	program structure division;program dependence graph;complex assemble source program;graphic structure;program static understanding analysis				8	IEEE	28 Dec 2009			IEEE	IEEE Conferences
GitHub, Technical Debt, Code Formatting, and More	github, technical debt, code formatting, and more	10.1109/MS.2017.51	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7888414	J. C. Carver; J. Cabot; R. Capilla; H. Muccini	University of Alabama; Interdisciplinary Internet Institute; Rey Juan Carlos University of Madrid; University of L'Aquila	IEEE Software	28 mar. 2017	2017	34	2	105	107	This issue's column reports on papers from the 19th International Conference on Model Driven Engineering Languages and Systems, the 2016 ACM SIGPLAN International Conference on Software Language Engineering, the 12th International ACM SIGSOFT Conference on the Quality of Software Architectures, and the 13th Working IEEE/IFIP Conference on Software Architecture. Topics discussed include GitHub and open source, technical debt in model-driven engineering, a universal code formatter, assuring architectural quality, and continuous architecting.	1937-4194			GitHub;open source;UML;technical debt;code smells;model-driven engineering;code formatting;machine learning;AQAF;Architecture Quality Assurance Framework;AADL;Architecture Analysis and Design Language;architectural quality;continuous architecting;CAFFEA;Continuous Architecture Framework for Embedded and Agile Software Development;software engineering;software development					3				28 mar. 2017			IEEE	IEEE Magazines
The Mind Is a Powerful Place: How Showing Code Comprehensibility Metrics Influences Code Understanding	the mind is a powerful place how showing code comprehensibility metrics influences code understanding	10.1109/ICSE43902.2021.00055	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402040	M. Wyrich; A. Preikschat; D. Graziotin; S. Wagner	Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany; Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany; Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany; Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany	2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)	7 May 2021	2021			512	523	Static code analysis tools and integrated development environments present developers with quality-related software metrics, some of which describe the understandability of source code. Software metrics influence overarching strategic decisions that impact the future of companies and the prioritization of everyday software development tasks. Several software metrics, however, lack in validation: we just choose to trust that they reflect what they are supposed to measure. Some of them were even shown to not measure the quality aspects they intend to measure. Yet, they influence us through biases in our cognitive-driven actions. In particular, they might anchor us in our decisions. Whether the anchoring effect exists with software metrics has not been studied yet. We conducted a randomized and double-blind experiment to investigate the extent to which a displayed metric value for source code comprehensibility anchors developers in their subjective rating of source code comprehensibility, whether performance is affected by the anchoring effect when working on comprehension tasks, and which individual characteristics might play a role in the anchoring effect. We found that the displayed value of a comprehensibility metric has a significant and large anchoring effect on a developer's code comprehensibility rating. The effect does not seem to affect the time or correctness when working on comprehension questions related to the code snippets under study. Since the anchoring effect is one of the most robust cognitive biases, and we have limited understanding of the consequences of the demonstrated manipulation of developers by non-validated metrics, we call for an increased awareness of the responsibility in code quality reporting and for corresponding tools to be based on scientific evidence.	1558-1225	978-1-6654-0296-5		behavioral software engineering, code comprehension, placebo effect, cognitive bias, anchoring effect, metrics	Measurement;Software metrics;Atmospheric measurements;Tools;Particle measurements;Software;Task analysis	anchors;cognition;program diagnostics;software engineering;software maintenance;software metrics;software quality;software tools	code comprehensibility metrics influences code understanding;static code analysis tools;integrated development environments;quality-related software metrics;everyday software development tasks;anchoring effect;metric value;source code comprehensibility anchors developers;comprehension tasks;comprehensibility metric;developer;comprehension questions;code snippets;nonvalidated metrics;code quality		4		75		7 May 2021			IEEE	IEEE Conferences
Programmer Experience: A Systematic Mapping	programmer experience a systematic mapping	10.1109/TLA.2020.9099749	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9099749	J. Morales; C. Rusu; D. Quiñones	Facultad de Ingeniería, Universidad Autónoma de Chile, Talca, Chile; Pontificia Universidad Católica de Valparaíso, Valparaiso, Chile; Pontificia Universidad Católica de Valparaíso, Valparaiso, Chile	IEEE Latin America Transactions	25 May 2020	2020	18	6	1111	1118	User eXperience (UX) identifies the perceptions of people over of the use (or even the anticipated use) of a product, system or service. The programmers are users of specific systems, and several types of software development artifacts, such as programming environments and design documents. We performed a systematic mapping about Programmer eXperience (PX). In this work we consider the programmers as a particular type of users of particular artifacts. We therefore consider PX as a particular type of UX. The literature usually focuses on PX from a Software Engineering point of view. We analyzed PX mainly from a Human-Computer Interaction (HCI) perspective. We reviewed articles about PX, empirical studies related to aspects of PX, and studies addressing PX on programming environments. The results show that there is an interest on the PX, but the concept is not yet clearly defined. We found 40 articles published in the last ten years and established that the studies address usability and PX aspects focusing on four topics: (i) programming languages, (ii) programmers' interaction with the integrated development environment, (iii) application programming interfaces, and (iv) articles about programmers' behavior. It is a relatively small numbers of articles, compared with other Software Engineering or HCI areas. This represents a research opportunity for this systematic review and others that can be performed.	1548-0992			Programmer experience;Programming environments;Systematic mapping;Usability;User experience	Systematics;Programming environments;Human computer interaction;Usability;IEEE transactions	application program interfaces;human computer interaction;programming environments;software engineering;user experience;user interfaces	systematic mapping;user experience;programming environments;programmer experience;PX;UX;software engineering;HCI areas;integrated development environment;human-computer interaction;software development artifacts;application programming interfaces;design documents		1				25 May 2020			IEEE	IEEE Journals
Moving Towards Program Comprehension in Software Development: A Case Study	moving towards program comprehension in software development a case study	10.1109/ICCMC48092.2020.ICCMC-000122	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9076470	A. Fellah; A. Bandi; M. Yousef	School of Computer Science and Information Systems, Northwest Missouri State University, Maryville, MO, USA; School of Computer Science and Information Systems, Northwest Missouri State University, Maryville, MO, USA; Dept. of Mathematics and Computer Science, University of Central Missouri, Warrensburg, MO, USA	2020 Fourth International Conference on Computing Methodologies and Communication (ICCMC)	23 Apr 2020	2020			660	665	The goal of this paper aims at promoting program comprehension in computer science, in particular software engineering and object-oriented programming courses. The research methodology is evaluated through an empirical study which involves an active participation audience of undergraduate and graduate computer science students. With no previous knowledge on program comprehension, participants were explicitly instructed to use their computing skills and own strategies to comprehend a set of Java programs of different difficulty levels. We did not impose on the participants any specific paradigm to comprehend the source code. We conducted three case studies with two groups of students, and the results were promising, despite of the fact that students had no previous knowledge of program comprehension. The results of this study shows that participants identified four dimensions to comprehend the source code - namely input/output activities, visual scanning, computer science knowledge, and application domain. In addition, the results provided strong evidence for the validation of the hypotheses that we formulated earlier before conducting the case studies. Another factor worth mentioning is the indentation of the code which might play a role in debugging.		978-1-7281-4889-2		Program comprehension software engineering;program understanding;source code comprehension mental models	Computer science;Visualization;Java;Codes;Debugging;Software;Cognitive science	computer science education;educational courses;Java;object-oriented programming;software engineering	program comprehension;object-oriented programming courses;software engineering courses;undergraduate computer science students;computing skills;Java programs;software development				19		23 Apr 2020			IEEE	IEEE Conferences
The application reseach of mixed program structure based on client-server, browser-server and web service	the application reseach of mixed program structure based on clientserver, browserserver and web service	10.1109/ICBMEI.2011.5916905	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5916905	Jian-fei Tu; Rui-feng Guo	Faculty of Mechanical Engineering and Mechanics, Ningbo University, Ningbo, China; Faculty of Mechanical Engineering and Mechanics, Ningbo University, Ningbo, China	2011 International Conference on Business Management and Electronic Information	23 jun. 2011	2011	1		193	195	C_B/S mixed-mode is a new application program structure based on client-server, browser-server and Web Service mode. The mixed program structure has the advantages of the above three, including: higher application performance, ease of deployment and flexible client user interface, etc. And it also has some disadvantages, including: difficulties in upgrading the deployment, problems of data integrated between the client programs with browser component. This paper analyzes the two kinds of realization methods of C_B/S mixed-mode, that is, Webpage integrated and Web Service integrated. An application that used the above two realization methods and based on C_B/S mixed-mode is provided as an example.		978-1-61284-109-0		mixed-mode;program structure;web service;client-server;browser-server	Web services;Servers;Browsers;Security;Data preprocessing;Periodic structures;Analytical models	application program interfaces;client-server systems;Internet;online front-ends;user interfaces;Web services	mixed program structure;client server;browser server;Web service;client user interface;client program;browser component;realization method;integrated Webpage		2		8		23 jun. 2011			IEEE	IEEE Conferences
