Title	Author	DOI	Link DOI	ACM	IEEE	SCOPUS
“further critical comments on pascal, particularly as a systems programming language”	Conradi, R.	10.1145/987335.987337	https://doi.org/10.1145/987335.987337			https://www.scopus.com/inward/record.url?eid=2-s2.0-84913266360&partnerID=40&md5=056ba8570d263d78d03662a2d99d11a3
(not) yet another metamodel for traceability	Batot, E.R., Cabot, J., Gerard, S.	10.1109/MODELS-C53483.2021.00125	https://doi.org/10.1109/MODELS-C53483.2021.00125			https://www.scopus.com/inward/record.url?eid=2-s2.0-85124019717&partnerID=40&md5=7dc80a5b2ddb40a7c240bc0f18864304
[journal first] a comparison of program comprehension strategies by blind and sighted programmers	A. Armaly; P. Rodeghero; C. McMillan	10.1145/3180155.3182544	https://doi.org/10.1145/3180155.3182544		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453151	
[journal first] does syntax highlighting help programming novices	C. Hannebauer; M. Hesenius; V. Gruhn	10.1145/3180155.3182554	https://doi.org/10.1145/3180155.3182554		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453142	
#ifdef directives and program comprehension the dilemma between correctness and preference	W. Fenske; J. Krüger; M. Kanyshkova; S. Schulze	10.1109/ICSME46990.2020.00033	https://doi.org/10.1109/ICSME46990.2020.00033		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240651	https://www.scopus.com/inward/record.url?eid=2-s2.0-85096656870&partnerID=40&md5=4c2ff8b9994018be36e0ad6d0788ef6c
10th international workshop on program comprehension		10.1109/WPC.2002.1021302	https://doi.org/10.1109/WPC.2002.1021302		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1021302	
10th international workshop on program comprehension 2729 june, 2002, paris, france proceedings		10.5555/863629	https://doi.org/10.5555/863629	https://dl.acm.org/doi/book/10.5555/863629		
14th ieee international conference on program comprehension copyright		10.1109/ICPC.2006.1	https://doi.org/10.1109/ICPC.2006.1		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631092	
14th ieee international conference on program comprehension cover		10.1109/ICPC.2006.2	https://doi.org/10.1109/ICPC.2006.2		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631090	
14th ieee international conference on program comprehension table of contents		10.1109/ICPC.2006.3	https://doi.org/10.1109/ICPC.2006.3		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631093	
14th ieee international conference on program comprehension title page		10.1109/ICPC.2006.4	https://doi.org/10.1109/ICPC.2006.4		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631091	
15 years of program comprehension	Scott Tilley	10.1109/ICPC.2007.1	https://doi.org/10.1109/ICPC.2007.1	https://dl.acm.org/doi/10.1109/ICPC.2007.1	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4268263	https://www.scopus.com/inward/record.url?eid=2-s2.0-34948838949&partnerID=40&md5=96813de6f1b019cae1f6783221060509
15th ieee international conference on program comprehension copyright		10.1109/ICPC.2007.2	https://doi.org/10.1109/ICPC.2007.2		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4268228	
15th ieee international conference on program comprehension cover		10.1109/ICPC.2007.3	https://doi.org/10.1109/ICPC.2007.3		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4268226	
15th ieee international conference on program comprehension icpc 2007	K. Wong	10.5555/1795908	https://doi.org/10.5555/1795908	https://dl.acm.org/doi/book/10.5555/1795908		
15th ieee international conference on program comprehension table of contents		10.1109/ICPC.2007.4	https://doi.org/10.1109/ICPC.2007.4		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4268229	
15th ieee international conference on program comprehension title		10.1109/ICPC.2007.5	https://doi.org/10.1109/ICPC.2007.5		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4268227	
16th ieee international conference on program comprehension [cover art]		10.1109/ICPC.2008.48	https://doi.org/10.1109/ICPC.2008.48		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556101	
18th ieee international conference on program comprehension [cover art]		10.1109/ICPC.2010.56	https://doi.org/10.1109/ICPC.2010.56		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5521784	
2^kary cyclic an codes for burst error correction		10.5555/876895.880925	https://doi.org/10.5555/876895.880925	https://dl.acm.org/doi/10.5555/876895.880925		
3d visualisation of code structures in java software systems	Fronk, A., Bruckhoff, A., Kern, M.	10.1145/1148493.1148515	https://doi.org/10.1145/1148493.1148515			https://www.scopus.com/inward/record.url?eid=2-s2.0-36448987517&partnerID=40&md5=afd989103e89b0d7805bac94453596fc
3d visualization for software development	David Bonyuet, Matt Ma, Kamal Jaffrey	10.5555/1009386.1010217	https://doi.org/10.5555/1009386.1010217	https://dl.acm.org/doi/10.5555/1009386.1010217		
3d visualization of program structure and data dependence for parallelizing compilers and parallel programming	Mariko Sasakura, Satoko Kiwada, Kazuki Joe, Tsuneo Nakanishi, Keijiro Araki	10.5555/645674.663453	https://doi.org/10.5555/645674.663453	https://dl.acm.org/doi/10.5555/645674.663453		https://www.scopus.com/inward/record.url?eid=2-s2.0-84957623525&partnerID=40&md5=11713cd3223b56fa2d7c98e3db65e52f
3d visualization techniques to support slicingbased program comprehension	Juergen Rilling, S. P. Mudur	10.1016/j.cag.2005.03.007	https://doi.org/10.1016/j.cag.2005.03.007	https://dl.acm.org/doi/10.1016/j.cag.2005.03.007		https://www.scopus.com/inward/record.url?eid=2-s2.0-18844383688&partnerID=40&md5=17a5b2eb9a3b900124251671c05f1259
4th workshop on graphical documentation uml style guidelines	Steve Murphy, Scott Tilley, Shihong Huang	10.1145/1026533.1026564	https://doi.org/10.1145/1026533.1026564	https://dl.acm.org/doi/10.1145/1026533.1026564		
