Level	Source Paper	Direction	Raw Title	Title	Link	Year	Filter	Triage	Initial Selection	Final Selection
1	an eye tracking study on camelcase and underscore identifier styles	Forward	8th International Symposium on Leveraging Applications of Formal Methods, Verification and Validation	8th international symposium on leveraging applications of formal methods verification and validation	https://core.ac.uk/download/pdf/328169794.pdf	2019	Ok	Not acceptable	Not acceptable	Not acceptable
1	enhancing program comprehension formatting and documenting	Backward	A Bibliography of Programming Style	a bibliography of programming style	https://dl.acm.org/doi/10.1145/96429.96430	1990	Ok	Not acceptable	Not acceptable	Not acceptable
1	typographic style is more than cosmetic	Forward	A Bibliography of Publications about TEX	a bibliography of publications about tex	ftp://ctan.math.utah.edu/ctan/tex-archive/graphics/pgf/contrib/circuitikz/tex/bib/texbook3.pdf	1994	Ok	Not acceptable	Not acceptable	Not acceptable
1	typographic style is more than cosmetic	Forward	A bug's eye view of immediate visual feedback in direct-manipulation programming systems	a bugs eye view of immediate visual feedback in directmanipulation programming systems	https://dl.acm.org/doi/pdf/10.1145/266399.266403	1997	Ok	Not acceptable	Not acceptable	Not acceptable
1	impacts of coding practices on readability	Forward	A call for clean code to effectively communicate science	a call for clean code to effectively communicate science	https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.13961	2022	Ok	Acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A Comparative Evaluation of Linear and Fisheye Views of Source Code	a comparative evaluation of linear and fisheye views of source code	https://www.learntechlib.org/p/28570/	2008	Ok	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A Comparative Evaluation of Linear and Fisheye Views of Source Code	a comparative evaluation of linear and fisheye views of source code	https://www.learntechlib.org/p/30322/	2008	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A comparative evaluation of program comprehension measures	a comparative evaluation of program comprehension measures	https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8a899c8536acac3b07b63baa8c1b3e9c919f274c	2000	Ok	Acceptable	Not acceptable	Not acceptable
1	typographic style is more than cosmetic	Forward	A comparative evaluation of program comprehension measures	a comparative evaluation of program comprehension measures	https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8a899c8536acac3b07b63baa8c1b3e9c919f274c	2000	Ok	Not acceptable	Not acceptable	Not acceptable
1	an investigation of misunderstanding code patterns in c opensource software projects	Backward	A comparison of 10 sampling algorithms for configurable systems	a comparison of 10 sampling algorithms for configurable systems	https://dl.acm.org/doi/abs/10.1145/2884781.2884793	2016	Ok	Not acceptable	Not acceptable	Not acceptable
1	an experimental investigation of the effect of program structure on program understanding	Forward	A comparison of a procedural and a nonprocedural query language: syntactic metrics and human factors.	a comparison of a procedural and a nonprocedural query language syntactic metrics and human factors	https://search.proquest.com/openview/a040a2d8c412e5183a6292e79a0bde2f/1?pq-origsite=gscholar&cbl=18750&diss=y	1979	Old	Not acceptable	Not acceptable	Not acceptable
1	an experimental investigation of the effect of program structure on program understanding	Forward	A comparison of measures of control flow complexity	a comparison of measures of control flow complexity	https://ieeexplore.ieee.org/abstract/document/1702775/	1980	Old	Not acceptable	Not acceptable	Not acceptable
1	program indentation and comprehensibility	Forward	A comparison of Nassi-Shneiderman and pseudocode as a planning aid for novice programmers in designing and developing structured BASIC programs	a comparison of nassishneiderman and pseudocode as a planning aid for novice programmers in designing and developing structured basic programs	https://search.proquest.com/openview/ceafa425c2a942c59a360fc82b3c6f57/1?pq-origsite=gscholar&cbl=18750&diss=y	1992	Ok	Not acceptable	Not acceptable	Not acceptable
1	indentation simply a matter of style or support for program comprehension	Backward	A complexity measure	a complexity measure	https://ieeexplore.ieee.org/document/1702388	1976	Old	Not acceptable	Not acceptable	Not acceptable
1	understanding misunderstandings in source code	Backward	A complexity measure.	a complexity measure	https://dl.acm.org/doi/10.1109/TSE.1976.233837	1976	Duplicate	Not acceptable	Not acceptable	Not acceptable
1	indentation simply a matter of style or support for program comprehension	Backward	A complexity measure based on selection and nesting	a complexity measure based on selection and nesting	https://doi.org/10.1145/1041838.1041840	1985	Old	Not acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Forward	A comprehensive overview of visual design of process model element labels	a comprehensive overview of visual design of process model element labels	https://link.springer.com/chapter/10.1007/978-3-319-42887-1_46	2016	Ok	Not acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Forward	A convolutional attention network for extreme summarization of source code	a convolutional attention network for extreme summarization of source code	http://proceedings.mlr.press/v48/allamanis16.html	2016	Ok	Not acceptable	Not acceptable	Not acceptable
1	the impact of identifier style on effort and comprehension	Forward	A Convolutional Neural Attention Approach to the Identifier Naming Problem in Program Code	a convolutional neural attention approach to the identifier naming problem in program code	https://studenttheses.uu.nl/handle/20.500.12932/32974	2019	Ok	Not acceptable	Not acceptable	Not acceptable
