type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,1457084,Bradley L. Vinz and Letha H. Etzkorn,,,,Improving Program Comprehension by Combining Code Understanding with Comment Understanding,813--825,,13,"Code understanding, Comment understanding, Heuristic approaches, Knowledge-based system, Program comprehension",10.1016/j.knosys.2008.03.033,Know.-Based Syst.,"December, 2008",21,8,,December,2008,0950-7051,,,,,,Elsevier Science Publishers B. V.,"Amsterdam, The Netherlands, The Netherlands"
article,856959,Francoise  Balmas and Harald  Wertz and Janice  Singer,,,,Understanding Program Understanding,256--,,,"working session, program understanding, research group",,,,,,,,2000,,Proceedings of the 8th International Workshop on Program Comprehension,IWPC '00,,0-7695-0656-9,,IEEE Computer Society,"Washington, DC, USA"
article,837854,Scott R. Tilley and Dennis B. Smith and Santanu  Paul,,,,Towards a Framework for Program Understanding,19--,,,"classification framework, program understanding, reverse engineering",,,,,,,,1996,,Proceedings of the 4th International Workshop on Program Comprehension (WPC '96),WPC '96,,0-8186-7283-8,,IEEE Computer Society,"Washington, DC, USA"
article,881294,,,,,Simplicity: A Key Engineering Concept for Program Understanding,98--,,,"program understanding, knowledge recovery, programming styles, program partitioning",,,,,,,,2001,,Proceedings of the 9th International Workshop on Program Comprehension,IWPC '01,,,,IEEE Computer Society,"Washington, DC, USA"
article,837841,Alex  Quilici and Steven  Woods,,,,Toward a Constraint-Satisfaction Framework for Evaluating Program-Understanding Algorithms,55--,,,"Program understanding, Constraint Satisfaction, Algorithm evaluation",,,,,,,,1996,,Proceedings of the 4th International Workshop on Program Comprehension (WPC '96),WPC '96,,0-8186-7283-8,,IEEE Computer Society,"Washington, DC, USA"
article,857042,Shihong  Huang and Scott  Tilley,,,,Workshop on Graphical Documentation for Programmers: Assessing the Efficacy of UML Diagrams for Program Understanding,281--,,,"program understanding, graphical documentation, UML, assessment",,,,,,,,2003,,Proceedings of the 11th IEEE International Workshop on Program Comprehension,IWPC '03,,0-7695-1883-4,,IEEE Computer Society,"Washington, DC, USA"
article,856987,Scott  Tilley and Shihong  Huang,,,,On Selecting Software Visualization Tools for Program Understanding in an Industrial Context,285--,,,"software visualization, program understanding, tool selection, industry",,,,,,,,2002,,Proceedings of the 10th International Workshop on Program Comprehension,IWPC '02,,0-7695-1495-2,,IEEE Computer Society,"Washington, DC, USA"
article,2708015,Roberto  Minelli and Andrea  Mocci and Michele  Lanza and Takashi  Kobayashi,,,,Quantifying Program Comprehension with Interaction Data,276--285,,10,"Program Comprehension, Program Understanding, Quantification, Interaction data, IDE",10.1109/QSIC.2014.11,,,,,,,2014,,Proceedings of the 2014 14th International Conference on Quality Software,QSIC '14,,978-1-4799-7198-5,,IEEE Computer Society,"Washington, DC, USA"
article,1080584,Thomas  Vestdam and Kurt  N&#248;rmark,,,,"Maintaining Program Understanding: Issues, Tools, and Future Directions",303--320,,18,"contemporary documentation tools, elucidative programming, internal documentation, program comprehension, program understanding",,Nordic J. of Computing,September 2004,11,3,,September,2004,1236-6064,,,,,,Publishing Association Nordic Journal of Computing,Finland
article,836934,S.  Woods and Qiang  Yang,,,,Program Understanding As Constraint Satisfaction,314--,,,"complex computation, constraint handling, constraint satisfaction, heuristic programming, heuristic techniques, high-level programming language, legacy code, mappings, partial global picture, performance evaluation, problem domain knowledge transformation, program plan template library, program translation, program understanding, reverse engineering, search algorithms, search efficiency, search problems, software libraries, software reusability, software reuse, source code understanding",,,,,,,,1995,,Proceedings of the Second Working Conference on Reverse Engineering,WCRE '95,,0-8186-7111-4,,IEEE Computer Society,"Washington, DC, USA"
