Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Corno, F., De Russis, L., Sáenz, J.P.",7005579197;42761135100;56727788500;,On the challenges novice programmers experience in developing IoT systems: A Survey,2019,Journal of Systems and Software,157,,110389,,,,,10.1016/j.jss.2019.07.101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070199153&doi=10.1016%2fj.jss.2019.07.101&partnerID=40&md5=9dcc522c4694f79fde4494294752fbf2,Article,Final,,Scopus,2-s2.0-85070199153
"Van Tendeloo, Y., Van Mierlo, S., Vangheluwe, H.",56196641700;56196585400;6602402077;,A Multi-Paradigm Modelling approach to live modelling,2019,Software and Systems Modeling,18,5,,2821,2842,,,10.1007/s10270-018-0700-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055994061&doi=10.1007%2fs10270-018-0700-7&partnerID=40&md5=909590df0490300455407c623df6b2e8,Article,Final,,Scopus,2-s2.0-85055994061
"Zhou, Y., Yan, X., Yang, W., Chen, T., Huang, Z.",57071818500;57204071362;57204565335;55578213700;57209242614;,Augmenting Java method comments generation with context information based on neural networks,2019,Journal of Systems and Software,156,,,328,340,,,10.1016/j.jss.2019.07.087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069831870&doi=10.1016%2fj.jss.2019.07.087&partnerID=40&md5=2e5749fa6255e6ce260a5fcde09b39ef,Article,Final,,Scopus,2-s2.0-85069831870
"Romano, S., Capece, N., Erra, U., Scanniello, G., Lanza, M.",57197990135;55434030800;55975916700;6506168818;56760055000;,On the use of virtual reality in software visualization: The case of the city metaphor,2019,Information and Software Technology,114,,,92,106,,,10.1016/j.infsof.2019.06.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067968777&doi=10.1016%2fj.infsof.2019.06.007&partnerID=40&md5=dabd7d1ad8984b129e90081c3d7f3337,Article,Final,,Scopus,2-s2.0-85067968777
"Mashhadi, M.J., Siddiqui, T.R., Hemmati, H., Loewen, H.",57208779762;57193158337;15046849800;56429375000;,Interactive semi-automated specification mining for debugging: An experience report,2019,Information and Software Technology,113,,,20,38,,,10.1016/j.infsof.2019.05.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065756126&doi=10.1016%2fj.infsof.2019.05.002&partnerID=40&md5=b4033a9f5fba8e0e7300f2528f0b58c8,Article,Final,,Scopus,2-s2.0-85065756126
"Medeiros, F., Lima, G., Amaral, G., Apel, S., Kästner, C., Ribeiro, M., Gheyi, R.",55955340500;57204782413;57204792691;8725218400;35547901100;57199329234;8365747700;,An investigation of misunderstanding code patterns in C open-source software projects,2019,Empirical Software Engineering,24,4,,1693,1726,,,10.1007/s10664-018-9666-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057175054&doi=10.1007%2fs10664-018-9666-x&partnerID=40&md5=e3a14f53c849efccf9916a95b9155ba1,Article,Final,,Scopus,2-s2.0-85057175054
"Tshukudu, E.",57188855317;,Towards a model of conceptual transfer for students learning new programming languages,2019,ICER 2019 - Proceedings of the 2019 ACM Conference on International Computing Education Research,,,,355,356,,,10.1145/3291279.3339437,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071327973&doi=10.1145%2f3291279.3339437&partnerID=40&md5=909418e7a18dd9e078a626a7c671e448,Conference Paper,Final,Open Access,Scopus,2-s2.0-85071327973
"Shi, J., Ji, W., Zhang, J., Gao, Z., Wang, Y., Shi, F.",57190816193;13805144900;57200549671;55464022200;7601500406;57202055725;,KernelGraph: Understanding the kernel in a graph,2019,Information Visualization,18,3,,283,296,,,10.1177/1473871617743239,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041636423&doi=10.1177%2f1473871617743239&partnerID=40&md5=7c59711a3148823bc0efe9ad22cfe82c,Article,Final,,Scopus,2-s2.0-85041636423
"Saddler, J.A.",57192652492;,Looks can mean achieving: Understanding eye gaze patterns of proficiency in code comprehension,2019,Eye Tracking Research and Applications Symposium (ETRA),,,a57,,,,,10.1145/3314111.3322876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069501804&doi=10.1145%2f3314111.3322876&partnerID=40&md5=24a25bd996f5224fe7163dd4f7e22701,Conference Paper,Final,,Scopus,2-s2.0-85069501804
"Deitelhoff, F., Harrer, A., Kienle, A.",57202888313;6602832111;15127231300;,An intuitive visualization for rapid data analysis: Using the DNA metaphor for eye movement patterns,2019,Eye Tracking Research and Applications Symposium (ETRA),,,a78,,,,,10.1145/3317958.3318227,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069498266&doi=10.1145%2f3317958.3318227&partnerID=40&md5=d32aa5d08219c2f8bcd41f11ca3c83da,Conference Paper,Final,,Scopus,2-s2.0-85069498266
